date,topic,hours,notes
2025-10-25,FE,6,"第3章 基礎理論 論理演算~確率・統計"
2025-10-26,FE,10,"第4章 アルゴリズムとプログラミング、第5章 システム構成要素"
2025-10-27,FE,4.5,"第5章 システム構成要素、第6章 データベース技術"
2025-10-28,FE,4.25,"第7章 ネットワーク技術"
2025-10-29,FE,4.5,"第8章 情報セキュリティ、第9章 システム開発技術"
2025-10-30,FE,4.5,"第10章マネジメント系・第11章ストラテジ系(4節まで)／復習:第5〜11章"
2025-10-31,FE,4.5,"第11章ストラテジ系(後半)〜第12章(科目B問題2まで)／科目A完了"
2025-11-01,FE,2.0,"第12章 科目B（問題3〜8）／難易度高く進捗少"
2025-11-02,FE,10.0,"第12章完了＋令和6年度過去問(75%)＋第1〜7章復習"
2025-11-03,FE,4.5,"第1〜11章 総復習／科目B対策準備"
2025-11-04,FE,3.9,"科目B 第2部 情報セキュリティ（第1〜2章）／問題演習5問"
2025-11-05,FE,4.5,"科目B 擬似言語（第1〜3章）130pまで／ハフマン木要再確認"
2025-11-06,FE,4.0,"科目B 擬似言語（第3章途中〜第7章途中）194pまで"
2025-11-07,FE,3.0,"科目B 擬似言語（第3章〜第8章途中）／トレース復習必要"
2025-11-08,FE,9.0,"科目B テキスト完了＋再演習開始（第8章リストまで）"
2025-11-09,FE,10.0,"科目B 復習＋過去問(令和4〜6年) 正答率66〜75%／再演習中"
2025-11-10,FE,4.5,"科目B再復習＋科目A再開＋過去問道場17問実施"
2025-11-11,FE,4.5,"科目A 第2〜8章中盤／過去問(令和5年)76.7%／Findy講演会参加"
2025-11-12,FE,4.5,"科目A 第8〜11章完／過去問(令和4年)81.7%／科目B対策移行"
2025-11-13,FE,4.5,"科目B 第1〜10章復習／情報セキュリティ付録12問／理解揺り戻しあり"